IP,PORT,TLS,WHERE,SEND,RECV,LOSS,AVER,SPEED (MB/s)
162.159.130.220,443,true,WuXi,4,4,0.00,161.14,0.86
162.159.135.147,443,true,WuXi,4,4,0.00,170.13,0.84
104.21.235.149,443,true,WuXi,4,4,0.00,164.13,0.84
162.159.133.73,443,true,WuXi,4,4,0.00,168.90,0.83
162.159.243.234,443,true,WuXi,4,4,0.00,170.02,0.79
104.16.124.136,443,true,WuXi,4,4,0.00,170.13,0.79
104.16.117.86,443,true,WuXi,4,4,0.00,170.75,0.76
162.159.240.131,443,true,WuXi,4,4,0.00,169.89,0.72
104.16.120.167,443,true,WuXi,4,4,0.00,166.95,0.72
162.159.249.109,443,true,WuXi,4,4,0.00,170.62,0.66
